attraction_name,attraction_address,zip_code,attraction_rating,attraction_n_reviews,attraction_url,popular_mentions
Berry Creek Falls,"Big Basin Redwoods State Park Wadell Creek, 5 miles from Hwy 1, Boulder Creek, CA cannot drive here",,4.5,33,https://www.tripadvisor.com/Attraction_Review-g32100-d144703-Reviews-Berry_Creek_Falls-Boulder_Creek_California.html,"['Filters', 'English', 'Detailed Reviews']"
Francis Beach,"Kelly Avenue Highway One, Half Moon Bay, CA 94019-1627",94019,4.5,26,https://www.tripadvisor.com/Attraction_Review-g32469-d268764-Reviews-Francis_Beach-Half_Moon_Bay_California.html,"['Filters', 'English', 'Detailed Reviews', 'tents', 'rv', 'campground', 'camping', 'dogs', 'beach']"
Garre Vineyard & Winery,"7986 Tesla Rd, Livermore, CA 94550-9353",94550,4.0,23,https://www.tripadvisor.com/Attraction_Review-g32635-d106849-Reviews-Garre_Vineyard_Winery-Livermore_Tri_Valley_California.html,"['Filters', 'English', 'Detailed Reviews', 'vineyard', 'wine']"
Pleasant Valley Historical Society Museum & Botanical Gardens,"720 Las Posas Rd, Camarillo, CA 93010-2904",93010,4.0,8,https://www.tripadvisor.com/Attraction_Review-g32147-d6704471-Reviews-Pleasant_Valley_Historical_Society_Museum_Botanical_Gardens-Camarillo_California.html,"['Filters', 'English', 'Detailed Reviews']"
Mendocino Art Center,"45200 Little Lake St, Mendocino, CA 95460",95460,4.5,122,https://www.tripadvisor.com/Attraction_Review-g32701-d103869-Reviews-Mendocino_Art_Center-Mendocino_Mendocino_County_California.html,"['Filters', 'English', 'Detailed Reviews']"
Museum of International Propaganda,"1000 5th Ave, San Rafael, CA 94901-6104",94901,5.0,13,https://www.tripadvisor.com/Attraction_Review-g33037-d11841116-Reviews-Museum_of_International_Propaganda-San_Rafael_Marin_County_California.html,"['Filters', 'English', 'Detailed Reviews', 'eye opening', 'posters']"
Green Cheek Beer Co.,"2294 N Batavia St #c, Orange, CA 92865-3108",92865,5.0,5,https://www.tripadvisor.com/Attraction_Review-g32825-d12911723-Reviews-Green_Cheek_Beer_Co-Orange_California.html,"['Filters', 'English', 'Detailed Reviews']"
Northcoast Artists Gallery,"362 N Main St, Fort Bragg, CA 95437-3406",95437,4.5,8,https://www.tripadvisor.com/Attraction_Review-g32400-d9695319-Reviews-Northcoast_Artists_Gallery-Fort_Bragg_Mendocino_County_California.html,"['Filters', 'English', 'Detailed Reviews']"
Chase Palm Park,"323 E Cabrillo Blvd, Santa Barbara, CA 93101-1808",93101,4.0,61,https://www.tripadvisor.com/Attraction_Review-g33045-d128640-Reviews-Chase_Palm_Park-Santa_Barbara_California.html,"['Filters', 'English', 'Detailed Reviews']"
KidZone Museum,"11711 Donner Pass Rd, Truckee, CA 96161-4954",96161,4.5,35,https://www.tripadvisor.com/Attraction_Review-g33191-d1234106-Reviews-KidZone_Museum-Truckee_Lake_Tahoe_California_California.html,"['Filters', 'English', 'Detailed Reviews']"
Presidio Vineyard & Winery,"1603 Copenhagen Dr Suite 1, Solvang, CA 93463-3789",93463,4.5,12,https://www.tripadvisor.com/Attraction_Review-g33103-d9978938-Reviews-Presidio_Vineyard_Winery-Solvang_California.html,"['Filters', 'English', 'Detailed Reviews']"
Bargetto Winery,"3535 N Main St, Soquel, CA 95073-2530",95073,5.0,25,https://www.tripadvisor.com/Attraction_Review-g33109-d7692029-Reviews-Bargetto_Winery-Soquel_California.html,"['Filters', 'English', 'Detailed Reviews']"
Leslie Sacks Gallery,"2525 Michigan Ave Suite B6, Santa Monica, CA 90404-4014",90404,4.0,1,https://www.tripadvisor.com/Attraction_Review-g33052-d11893954-Reviews-Leslie_Sacks_Gallery-Santa_Monica_California.html,"['Filters', 'English', 'Detailed Reviews']"
Sherwin Family Vineyards,"4060 Spring Mountain Rd, St. Helena, CA 94574-9773",94574,5.0,89,https://www.tripadvisor.com/Attraction_Review-g33000-d4965870-Reviews-Sherwin_Family_Vineyards-St_Helena_Napa_Valley_California.html,"['Filters', 'English', 'Detailed Reviews', 'american flag', 'bocce court', 'patio', 'host', 'wine', 'tasting', 'mtn']"
Michel-Schlumberger Wine Estate,"4155 Wine Creek Rd, Healdsburg, CA 95448-9112",95448,4.5,133,https://www.tripadvisor.com/Attraction_Review-g32482-d531622-Reviews-Michel_Schlumberger_Wine_Estate-Healdsburg_Sonoma_County_California.html,"['Filters', 'English', 'Detailed Reviews', 'dry creek valley', 'delightful afternoon', 'tasting room', 'grounds', 'wine', 'reservation', 'lawn', 'sparkling', 'oak', 'picnic']"
Diamond Valley Lake Aquatic Center,"1801 Angler Ave, Hemet, CA 92543-9704",92543,5.0,4,https://www.tripadvisor.com/Attraction_Review-g32486-d10596607-Reviews-Diamond_Valley_Lake_Aquatic_Center-Hemet_California.html,"['Filters', 'English', 'Detailed Reviews']"
Noah Purifoy Desert Art Museum,"63030 Blair Ln, Joshua Tree, CA 92252-3390",92252,4.5,129,https://www.tripadvisor.com/Attraction_Review-g32544-d15072133-Reviews-Noah_Purifoy_Desert_Art_Museum-Joshua_Tree_California.html,"['Filters', 'English', 'Detailed Reviews', 'junk', 'installation', 'objects', 'desert', 'collection', 'bumpy', 'disintegrating', 'backdrop']"
Fremont Centre Theatre,"1000 Fremont Ave, South Pasadena, CA 91030-3225",91030,4.0,2,https://www.tripadvisor.com/Attraction_Review-g33115-d3343494-Reviews-Fremont_Centre_Theatre-South_Pasadena_California.html,"['Filters', 'English', 'Detailed Reviews']"
Jodar Vineyards,"2392 Gravel Rd, Placerville, CA 95667-9059",95667,4.5,19,https://www.tripadvisor.com/Attraction_Review-g32898-d145542-Reviews-Jodar_Vineyards-Placerville_California.html,"['Filters', 'English', 'Detailed Reviews']"
Children's Nature Institute,"1440 Harvard St, Santa Monica, CA 90404-3105",90404,5.0,1,https://www.tripadvisor.com/Attraction_Review-g33052-d592774-Reviews-Children_s_Nature_Institute-Santa_Monica_California.html,"['Filters', 'English', 'Detailed Reviews']"
Truett Hurst Winery,"5610 Dry Creek Rd, Healdsburg, CA 95448-8210",95448,4.5,178,https://www.tripadvisor.com/Attraction_Review-g32482-d1763824-Reviews-Truett_Hurst_Winery-Healdsburg_Sonoma_County_California.html,"['Filters', 'English', 'Detailed Reviews', 'bottle of wine', 'picnic area', 'different wines', 'creek', 'goats', 'winery', 'wineries', 'tasting', 'zinfandel', 'scenery', 'pinot', 'servers', 'sonoma']"
Iconic Vintage,"3414 1/2 W Magnolia Blvd, Burbank, CA 91505-2909",91505,4.0,2,https://www.tripadvisor.com/Attraction_Review-g32123-d10460191-Reviews-Iconic_Vintage-Burbank_California.html,"['Filters', 'English', 'Detailed Reviews']"
Anderson River Park,"2800 Rupert Rd, Anderson, CA 96007",96007,4.5,22,https://www.tripadvisor.com/Attraction_Review-g29093-d10404824-Reviews-Anderson_River_Park-Anderson_California.html,"['Filters', 'English', 'Detailed Reviews']"
The Bembridge Heritage,"953 N Park Cir, Long Beach, CA 90813-4030",90813,4.0,7,https://www.tripadvisor.com/Attraction_Review-g32648-d6700296-Reviews-The_Bembridge_Heritage-Long_Beach_California.html,"['Filters', 'English', 'Detailed Reviews']"
GRAMMY Museum,"800 W Olympic Blvd Ste. A245, Los Angeles, CA 90015-1360",90015,4.5,882,https://www.tripadvisor.com/Attraction_Review-g32655-d1745928-Reviews-GRAMMY_Museum-Los_Angeles_California.html,"['Filters', 'English', 'Detailed Reviews', 'music lovers', 'love music', 'music genres', 'music industry', 'american music', 'costumes worn', 'downtown la', 'great place to visit', 'recording', 'exhibits', 'parking', 'technology', 'stars']"
Lucky Strike LA Live,"800 W Olympic Blvd LA Live, Los Angeles, CA 90015-1360",90015,4.0,195,https://www.tripadvisor.com/Attraction_Review-g32655-d2044577-Reviews-Lucky_Strike_LA_Live-Los_Angeles_California.html,"['Filters', 'English', 'Detailed Reviews', 'lakers']"
